region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,7,0.000000,9.090909,8192,44,-0.002668
noncoding,7,0.000000,9.090909,8192,93,-0.005469
all,7,0.000000,9.090909,16384,137,-0.003602
coding,7,9.090909,18.181818,8192,885,0.134376
noncoding,7,9.090909,18.181818,8192,7206,0.209983
all,7,9.090909,18.181818,16384,8091,0.142637
coding,7,18.181818,27.272727,8192,11848,0.725953
noncoding,7,18.181818,27.272727,8192,261066,0.905978
all,7,18.181818,27.272727,16384,272914,0.749025
coding,7,27.272727,36.363636,8192,120376,0.934257
noncoding,7,27.272727,36.363636,8192,6439657,0.982795
all,7,27.272727,36.363636,16384,6560033,0.945012
coding,7,36.363636,45.454545,8192,1185717,0.965717
noncoding,7,36.363636,45.454545,8192,229576799,0.967332
all,7,36.363636,45.454545,16384,230762516,0.966420
coding,7,45.454545,54.545455,8192,6910780,0.983015
noncoding,7,45.454545,54.545455,8192,1075542073,0.999817
all,7,45.454545,54.545455,16384,1082452853,0.993068
coding,7,54.545455,63.636364,8192,4544708,0.990937
noncoding,7,54.545455,63.636364,8192,523060589,0.998129
all,7,54.545455,63.636364,16384,527605297,0.995072
coding,7,63.636364,72.727273,8192,3101075,0.961311
noncoding,7,63.636364,72.727273,8192,161236696,0.983295
all,7,63.636364,72.727273,16384,164337771,0.974111
coding,7,72.727273,81.818182,8192,2377761,0.764607
noncoding,7,72.727273,81.818182,8192,24782795,0.927571
all,7,72.727273,81.818182,16384,27160556,0.862045
coding,7,81.818182,90.909091,8192,1977347,0.725708
noncoding,7,81.818182,90.909091,8192,7402135,0.808200
all,7,81.818182,90.909091,16384,9379482,0.772472
coding,7,90.909091,100.000000,8192,6290680,0.934793
noncoding,7,90.909091,100.000000,8192,3201221,0.890055
all,7,90.909091,100.000000,16384,9491901,0.908266
