region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,5,0.000000,9.090909,512,23,0.071499
noncoding,5,0.000000,9.090909,512,6,0.329404
all,5,0.000000,9.090909,1024,29,0.276414
coding,5,9.090909,18.181818,512,338,0.349115
noncoding,5,9.090909,18.181818,512,157,0.096841
all,5,9.090909,18.181818,1024,495,0.203344
coding,5,18.181818,27.272727,512,6148,0.919850
noncoding,5,18.181818,27.272727,512,5388,0.598528
all,5,18.181818,27.272727,1024,11536,0.870377
coding,5,27.272727,36.363636,512,85434,0.973438
noncoding,5,27.272727,36.363636,512,394709,0.890360
all,5,27.272727,36.363636,1024,480143,0.960324
coding,5,36.363636,45.454545,512,1078877,0.962930
noncoding,5,36.363636,45.454545,512,46926516,0.892669
all,5,36.363636,45.454545,1024,48005393,0.939216
coding,5,45.454545,54.545455,512,11449208,0.948088
noncoding,5,45.454545,54.545455,512,1544876064,0.996856
all,5,45.454545,54.545455,1024,1556325272,0.976318
coding,5,54.545455,63.636364,512,6781190,0.995388
noncoding,5,54.545455,63.636364,512,265087665,0.955329
all,5,54.545455,63.636364,1024,271868855,0.968463
coding,5,63.636364,72.727273,512,4209768,0.990265
noncoding,5,63.636364,72.727273,512,35172816,0.908629
all,5,63.636364,72.727273,1024,39382584,0.931253
coding,5,72.727273,81.818182,512,3406302,0.962779
noncoding,5,72.727273,81.818182,512,7545862,0.881448
all,5,72.727273,81.818182,1024,10952164,0.908763
coding,5,81.818182,90.909091,512,3568047,0.712559
noncoding,5,81.818182,90.909091,512,2191284,0.292227
all,5,81.818182,90.909091,1024,5759331,0.462380
coding,5,90.909091,100.000000,512,4259960,0.328070
noncoding,5,90.909091,100.000000,512,608735,0.298534
all,5,90.909091,100.000000,1024,4868695,0.304758
