region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,3,0.000000,9.090909,32,242,0.591053
noncoding,3,0.000000,9.090909,32,136,-0.310240
all,3,0.000000,9.090909,64,378,0.148312
coding,3,9.090909,18.181818,32,1697,0.859783
noncoding,3,9.090909,18.181818,32,1152,0.346868
all,3,9.090909,18.181818,64,2849,0.760785
coding,3,18.181818,27.272727,32,14158,0.903276
noncoding,3,18.181818,27.272727,32,13900,0.709888
all,3,18.181818,27.272727,64,28058,0.879377
coding,3,27.272727,36.363636,32,120896,0.936320
noncoding,3,27.272727,36.363636,32,465972,0.648510
all,3,27.272727,36.363636,64,586868,0.870001
coding,3,36.363636,45.454545,32,1163580,0.916374
noncoding,3,36.363636,45.454545,32,465972,0.577875
all,3,36.363636,45.454545,64,1629552,0.811313
coding,3,45.454545,54.545455,32,2701709,0.833883
noncoding,3,45.454545,54.545455,32,465972,0.996790
all,3,45.454545,54.545455,64,3167681,0.927477
coding,3,54.545455,63.636364,32,2701709,0.992580
noncoding,3,54.545455,63.636364,32,465972,0.900468
all,3,54.545455,63.636364,64,3167681,0.911137
coding,3,63.636364,72.727273,32,2701709,0.973157
noncoding,3,63.636364,72.727273,32,465972,0.830048
all,3,63.636364,72.727273,64,3167681,0.834605
coding,3,72.727273,81.818182,32,2701709,0.844396
noncoding,3,72.727273,81.818182,32,465972,0.822464
all,3,72.727273,81.818182,64,3167681,0.812328
coding,3,81.818182,90.909091,32,2701709,0.095121
noncoding,3,81.818182,90.909091,32,465972,0.133165
all,3,81.818182,90.909091,64,3167681,0.111606
coding,3,90.909091,100.000000,32,2701709,-0.737546
noncoding,3,90.909091,100.000000,32,465972,-0.542216
all,3,90.909091,100.000000,64,3167681,-0.624702
