region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,7,0.000000,9.090909,8192,44,-0.002648
noncoding,7,0.000000,9.090909,8192,93,0.038196
all,7,0.000000,9.090909,16384,137,0.010475
coding,7,9.090909,18.181818,8192,886,0.021941
noncoding,7,9.090909,18.181818,8192,7205,0.151167
all,7,9.090909,18.181818,16384,8091,0.037729
coding,7,18.181818,27.272727,8192,11802,0.184080
noncoding,7,18.181818,27.272727,8192,261112,0.734264
all,7,18.181818,27.272727,16384,272914,0.281381
coding,7,27.272727,36.363636,8192,119737,0.372645
noncoding,7,27.272727,36.363636,8192,6440265,0.829174
all,7,27.272727,36.363636,16384,6560002,0.508523
coding,7,36.363636,45.454545,8192,1179988,0.698403
noncoding,7,36.363636,45.454545,8192,229578539,0.898745
all,7,36.363636,45.454545,16384,230758527,0.799699
coding,7,45.454545,54.545455,8192,6896292,0.963368
noncoding,7,45.454545,54.545455,8192,1075554555,0.993566
all,7,45.454545,54.545455,16384,1082450847,0.980710
coding,7,54.545455,63.636364,8192,4537908,0.941644
noncoding,7,54.545455,63.636364,8192,523063244,0.980048
all,7,54.545455,63.636364,16384,527601152,0.964008
coding,7,63.636364,72.727273,8192,3094258,0.918536
noncoding,7,63.636364,72.727273,8192,161242883,0.872828
all,7,63.636364,72.727273,16384,164337141,0.891512
coding,7,72.727273,81.818182,8192,2373329,0.840907
noncoding,7,72.727273,81.818182,8192,24787104,0.871679
all,7,72.727273,81.818182,16384,27160433,0.848439
coding,7,81.818182,90.909091,8192,1991946,0.722377
noncoding,7,81.818182,90.909091,8192,7387473,0.827896
all,7,81.818182,90.909091,16384,9379419,0.778184
coding,7,90.909091,100.000000,8192,6315019,0.894858
noncoding,7,90.909091,100.000000,8192,3176878,0.641287
all,7,90.909091,100.000000,16384,9491897,0.750577
