region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,7,0.000000,9.090909,8192,0,nan
noncoding,7,0.000000,9.090909,8192,0,nan
all,7,0.000000,9.090909,16384,0,nan
coding,7,9.090909,18.181818,8192,0,nan
noncoding,7,9.090909,18.181818,8192,0,nan
all,7,9.090909,18.181818,16384,0,nan
coding,7,18.181818,27.272727,8192,0,nan
noncoding,7,18.181818,27.272727,8192,8,-0.000423
all,7,18.181818,27.272727,16384,8,-0.000211
coding,7,27.272727,36.363636,8192,101,-0.006069
noncoding,7,27.272727,36.363636,8192,3378,0.187566
all,7,27.272727,36.363636,16384,3479,0.000825
coding,7,36.363636,45.454545,8192,43659,0.442651
noncoding,7,36.363636,45.454545,8192,11641156,0.969107
all,7,36.363636,45.454545,16384,11684815,0.736355
coding,7,45.454545,54.545455,8192,2639284,0.968291
noncoding,7,45.454545,54.545455,8192,1500518785,0.997935
all,7,45.454545,54.545455,16384,1503158069,0.986180
coding,7,54.545455,63.636364,8192,6109086,0.989957
noncoding,7,54.545455,63.636364,8192,468044444,0.989013
all,7,54.545455,63.636364,16384,474153530,0.987911
coding,7,63.636364,72.727273,8192,6838968,0.992539
noncoding,7,63.636364,72.727273,8192,35119210,0.985216
all,7,63.636364,72.727273,16384,41958178,0.986294
coding,7,72.727273,81.818182,8192,7167414,0.993771
noncoding,7,72.727273,81.818182,8192,9664824,0.985082
all,7,72.727273,81.818182,16384,16832238,0.987506
coding,7,81.818182,90.909091,8192,3470295,0.934952
noncoding,7,81.818182,90.909091,8192,2456251,0.964006
all,7,81.818182,90.909091,16384,5926546,0.951177
coding,7,90.909091,100.000000,8192,251825,0.730522
noncoding,7,90.909091,100.000000,8192,462879,0.925243
all,7,90.909091,100.000000,16384,714704,0.812763
