region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,4,0,10,136,242,0.147892
noncoding,4,0,10,136,136,0.042795
all,4,0,10,272,378,0.084648
coding,4,10,20,136,2186,0.068568
noncoding,4,10,20,136,1528,0.166368
all,4,10,20,272,3714,0.087869
coding,4,20,30,136,23591,-0.019096
noncoding,4,20,30,136,28136,0.201502
all,4,20,30,272,51727,0.021327
coding,4,30,40,136,252076,-0.011393
noncoding,4,30,40,136,2565422,0.342192
all,4,30,40,272,2817498,0.092075
coding,4,40,50,136,5029578,0.361672
noncoding,4,40,50,136,803396812,0.706727
all,4,40,50,272,808426390,0.528820
coding,4,50,60,136,12204457,0.868127
noncoding,4,50,60,136,1713569536,0.778245
all,4,50,60,272,1725773993,0.812591
coding,4,60,70,136,5089620,0.836233
noncoding,4,60,70,136,61367255,0.554893
all,4,60,70,272,66456875,0.611196
coding,4,70,80,136,3688503,0.892472
noncoding,4,70,80,136,8225969,0.612998
all,4,70,80,272,11914472,0.690221
coding,4,80,90,136,4211400,0.615337
noncoding,4,80,90,136,2293960,0.426996
all,4,80,90,272,6505360,0.494904
coding,4,90,100,136,3546262,0.175932
noncoding,4,90,100,136,542104,0.111308
all,4,90,100,272,4088366,0.127335
