region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,5,0,10,512,242,0.151201
noncoding,5,0,10,512,136,0.036940
all,5,0,10,1024,378,0.084284
coding,5,10,20,512,2192,0.652944
noncoding,5,10,20,512,1532,0.481801
all,5,10,20,1024,3724,0.579619
coding,5,20,30,512,23647,0.876515
noncoding,5,20,30,512,28219,0.755912
all,5,20,30,1024,51866,0.847770
coding,5,30,40,512,252570,0.933221
noncoding,5,30,40,512,2579972,0.721391
all,5,30,40,1024,2832542,0.862572
coding,5,40,50,512,5048235,0.858812
noncoding,5,40,50,512,812405039,0.904896
all,5,40,50,1024,817453274,0.882324
coding,5,50,60,512,12278565,0.976695
noncoding,5,50,60,512,1744235015,0.991295
all,5,50,60,1024,1756513580,0.985111
coding,5,60,70,512,5120141,0.984858
noncoding,5,60,70,512,62716299,0.876580
all,5,60,70,1024,67836440,0.898520
coding,5,70,80,512,3708918,0.971547
noncoding,5,70,80,512,8328129,0.748738
all,5,70,80,1024,12037047,0.817804
coding,5,80,90,512,4236224,0.635745
noncoding,5,80,90,512,2306791,0.332306
all,5,80,90,1024,6543015,0.446988
coding,5,90,100,512,3555457,-0.085348
noncoding,5,90,100,512,542295,-0.037037
all,5,90,100,1024,4097752,-0.047917
