region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,5,0.000000,9.090909,512,44,0.002311
noncoding,5,0.000000,9.090909,512,93,0.021241
all,5,0.000000,9.090909,1024,137,0.007157
coding,5,9.090909,18.181818,512,886,-0.015986
noncoding,5,9.090909,18.181818,512,7205,0.461936
all,5,9.090909,18.181818,1024,8091,0.057661
coding,5,18.181818,27.272727,512,11824,0.197677
noncoding,5,18.181818,27.272727,512,261095,0.711966
all,5,18.181818,27.272727,1024,272919,0.307629
coding,5,27.272727,36.363636,512,120062,0.360905
noncoding,5,27.272727,36.363636,512,6440086,0.759640
all,5,27.272727,36.363636,1024,6560148,0.474123
coding,5,36.363636,45.454545,512,1181709,0.664676
noncoding,5,36.363636,45.454545,512,229587786,0.838094
all,5,36.363636,45.454545,1024,230769495,0.742191
coding,5,45.454545,54.545455,512,6880039,0.870505
noncoding,5,45.454545,54.545455,512,1075620924,0.988421
all,5,45.454545,54.545455,1024,1082500963,0.931032
coding,5,54.545455,63.636364,512,4520114,0.849069
noncoding,5,54.545455,63.636364,512,523107248,0.969853
all,5,54.545455,63.636364,1024,527627362,0.913227
coding,5,63.636364,72.727273,512,3087705,0.880009
noncoding,5,63.636364,72.727273,512,161253537,0.841176
all,5,63.636364,72.727273,1024,164341242,0.856403
coding,5,72.727273,81.818182,512,2375858,0.782714
noncoding,5,72.727273,81.818182,512,24785447,0.840904
all,5,72.727273,81.818182,1024,27161305,0.804974
coding,5,81.818182,90.909091,512,1997882,0.624337
noncoding,5,81.818182,90.909091,512,7381799,0.776442
all,5,81.818182,90.909091,1024,9379681,0.694014
coding,5,90.909091,100.000000,512,6345429,0.614188
noncoding,5,90.909091,100.000000,512,3146574,0.611359
all,5,90.909091,100.000000,1024,9492003,0.608333
