region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,5,0.000000,9.090909,512,23,-0.021171
noncoding,5,0.000000,9.090909,512,6,-0.005557
all,5,0.000000,9.090909,1024,29,-0.009340
coding,5,9.090909,18.181818,512,338,0.074720
noncoding,5,9.090909,18.181818,512,157,-0.018690
all,5,9.090909,18.181818,1024,495,0.013184
coding,5,18.181818,27.272727,512,6138,0.192144
noncoding,5,18.181818,27.272727,512,5398,0.428239
all,5,18.181818,27.272727,1024,11536,0.239716
coding,5,27.272727,36.363636,512,85232,0.285865
noncoding,5,27.272727,36.363636,512,394911,0.638343
all,5,27.272727,36.363636,1024,480143,0.358139
coding,5,36.363636,45.454545,512,1075368,0.555566
noncoding,5,36.363636,45.454545,512,46930021,0.806977
all,5,36.363636,45.454545,1024,48005389,0.648019
coding,5,45.454545,54.545455,512,11401950,0.899129
noncoding,5,45.454545,54.545455,512,1544923270,0.992597
all,5,45.454545,54.545455,1024,1556325220,0.948407
coding,5,54.545455,63.636364,512,6746226,0.891244
noncoding,5,54.545455,63.636364,512,265122630,0.877292
all,5,54.545455,63.636364,1024,271868856,0.879245
coding,5,63.636364,72.727273,512,4197221,0.953897
noncoding,5,63.636364,72.727273,512,35185365,0.774923
all,5,63.636364,72.727273,1024,39382586,0.819415
coding,5,72.727273,81.818182,512,3412123,0.879203
noncoding,5,72.727273,81.818182,512,7540043,0.863238
all,5,72.727273,81.818182,1024,10952166,0.848826
coding,5,81.818182,90.909091,512,3602214,0.617683
noncoding,5,81.818182,90.909091,512,2157116,0.589414
all,5,81.818182,90.909091,1024,5759330,0.576530
coding,5,90.909091,100.000000,512,4318428,0.357181
noncoding,5,90.909091,100.000000,512,550267,0.079139
all,5,90.909091,100.000000,1024,4868695,0.131436
