region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,7,0,10,8192,9480941,0.945881
noncoding,7,0,10,8192,2174241213,0.998906
all,7,0,10,16384,2183722154,0.976346
coding,7,10,20,8192,641060,0.944584
noncoding,7,10,20,8192,137512477,0.992814
all,7,10,20,16384,138153537,0.977690
coding,7,20,30,8192,422998,0.923307
noncoding,7,20,30,8192,72675070,0.991054
all,7,20,30,16384,73098068,0.969045
coding,7,30,40,8192,345473,0.909338
noncoding,7,30,40,8192,47011281,0.989076
all,7,30,40,16384,47356754,0.963463
coding,7,40,50,8192,323330,0.899006
noncoding,7,40,50,8192,32735420,0.985515
all,7,40,50,16384,33058750,0.958423
coding,7,50,60,8192,323008,0.894920
noncoding,7,50,60,8192,23246172,0.979835
all,7,50,60,16384,23569180,0.954589
coding,7,60,70,8192,359423,0.901769
noncoding,7,60,70,8192,18941301,0.975840
all,7,60,70,16384,19300724,0.954903
coding,7,70,80,8192,434493,0.910162
noncoding,7,70,80,8192,16498971,0.971186
all,7,70,80,16384,16933464,0.954666
coding,7,80,90,8192,675422,0.920175
noncoding,7,80,90,8192,17411588,0.967046
all,7,80,90,16384,18087010,0.955057
coding,7,90,100,8192,21220042,0.984148
noncoding,7,90,100,8192,92869498,0.966928
all,7,90,100,16384,114089540,0.971905
