region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,3,0.000000,9.090909,32,1,nan
noncoding,3,0.000000,9.090909,32,0,nan
all,3,0.000000,9.090909,64,1,nan
coding,3,9.090909,18.181818,32,32,0.377964
noncoding,3,9.090909,18.181818,32,11,0.013782
all,3,9.090909,18.181818,64,43,0.141899
coding,3,18.181818,27.272727,32,725,0.965203
noncoding,3,18.181818,27.272727,32,608,0.606650
all,3,18.181818,27.272727,64,1333,0.914742
coding,3,27.272727,36.363636,32,9335,0.988076
noncoding,3,27.272727,36.363636,32,45501,0.854516
all,3,27.272727,36.363636,64,54836,0.966123
coding,3,36.363636,45.454545,32,110595,0.958475
noncoding,3,36.363636,45.454545,32,5807684,0.828636
all,3,36.363636,45.454545,64,5918279,0.919531
coding,3,45.454545,54.545455,32,1205975,0.886881
noncoding,3,45.454545,54.545455,32,191641574,0.994555
all,3,45.454545,54.545455,64,192847549,0.949664
coding,3,54.545455,63.636364,32,743851,0.996743
noncoding,3,54.545455,63.636364,32,33048377,0.948856
all,3,54.545455,63.636364,64,33792228,0.957175
coding,3,63.636364,72.727273,32,475337,0.986397
noncoding,3,63.636364,72.727273,32,4235952,0.927018
all,3,63.636364,72.727273,64,4711289,0.922974
coding,3,72.727273,81.818182,32,395915,0.931448
noncoding,3,72.727273,81.818182,32,815085,0.872253
all,3,72.727273,81.818182,64,1211000,0.854659
coding,3,81.818182,90.909091,32,408194,0.528249
noncoding,3,81.818182,90.909091,32,230853,-0.111941
all,3,81.818182,90.909091,64,639047,0.116008
coding,3,90.909091,100.000000,32,489033,0.071260
noncoding,3,90.909091,100.000000,32,55644,0.090863
all,3,90.909091,100.000000,64,544677,0.085173
