region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,5,0.000000,9.090909,512,0,nan
noncoding,5,0.000000,9.090909,512,0,nan
all,5,0.000000,9.090909,1024,0,nan
coding,5,9.090909,18.181818,512,0,nan
noncoding,5,9.090909,18.181818,512,0,nan
all,5,9.090909,18.181818,1024,0,nan
coding,5,18.181818,27.272727,512,2,-0.001957
noncoding,5,18.181818,27.272727,512,45,0.140041
all,5,18.181818,27.272727,1024,47,0.003840
coding,5,27.272727,36.363636,512,268,0.157628
noncoding,5,27.272727,36.363636,512,569,0.089011
all,5,27.272727,36.363636,1024,837,0.135956
coding,5,36.363636,45.454545,512,79726,0.860504
noncoding,5,36.363636,45.454545,512,2328159,0.818626
all,5,36.363636,45.454545,1024,2407885,0.836770
coding,5,45.454545,54.545455,512,6675213,0.963142
noncoding,5,45.454545,54.545455,512,1719846669,0.998925
all,5,45.454545,54.545455,1024,1726521882,0.983170
coding,5,54.545455,63.636364,512,9024147,0.988293
noncoding,5,54.545455,63.636364,512,155597542,0.961529
all,5,54.545455,63.636364,1024,164621689,0.961379
coding,5,63.636364,72.727273,512,8864885,0.988789
noncoding,5,63.636364,72.727273,512,16585221,0.966084
all,5,63.636364,72.727273,1024,25450106,0.968738
coding,5,72.727273,81.818182,512,7425107,0.971188
noncoding,5,72.727273,81.818182,512,4157138,0.928622
all,5,72.727273,81.818182,1024,11582245,0.938284
coding,5,81.818182,90.909091,512,2588653,0.715696
noncoding,5,81.818182,90.909091,512,811899,0.885494
all,5,81.818182,90.909091,1024,3400552,0.830805
coding,5,90.909091,100.000000,512,186360,0.539422
noncoding,5,90.909091,100.000000,512,128062,0.702990
all,5,90.909091,100.000000,1024,314422,0.594035
