region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,6,0,10,2080,242,0.083235
noncoding,6,0,10,2080,136,0.037275
all,6,0,10,4160,378,0.052900
coding,6,10,20,2080,2192,0.019605
noncoding,6,10,20,2080,1532,0.056547
all,6,10,20,4160,3724,0.036607
coding,6,20,30,2080,23647,0.004273
noncoding,6,20,30,2080,28219,0.291845
all,6,20,30,4160,51866,0.072331
coding,6,30,40,2080,252570,0.029405
noncoding,6,30,40,2080,2579972,0.388754
all,6,30,40,4160,2832542,0.145442
coding,6,40,50,2080,5048235,0.526898
noncoding,6,40,50,2080,812405003,0.849201
all,6,40,50,4160,817453238,0.693129
coding,6,50,60,2080,12278565,0.901710
noncoding,6,50,60,2080,1744234802,0.982712
all,6,50,60,4160,1756513367,0.950105
coding,6,60,70,2080,5120141,0.887319
noncoding,6,60,70,2080,62716295,0.762719
all,6,60,70,4160,67836436,0.792691
coding,6,70,80,2080,3708918,0.890874
noncoding,6,70,80,2080,8328129,0.782066
all,6,70,80,4160,12037047,0.816255
coding,6,80,90,2080,4236224,0.641771
noncoding,6,80,90,2080,2306791,0.591408
all,6,80,90,4160,6543015,0.609003
coding,6,90,100,2080,3555457,0.232856
noncoding,6,90,100,2080,542295,0.097289
all,6,90,100,4160,4097752,0.122652
