region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,3,0.000000,9.090909,32,23,0.167851
noncoding,3,0.000000,9.090909,32,6,-0.103448
all,3,0.000000,9.090909,64,29,-0.038426
coding,3,9.090909,18.181818,32,338,-0.090277
noncoding,3,9.090909,18.181818,32,157,0.259175
all,3,9.090909,18.181818,64,495,0.058859
coding,3,18.181818,27.272727,32,6141,-0.212642
noncoding,3,18.181818,27.272727,32,5395,0.440796
all,3,18.181818,27.272727,64,11536,-0.124788
coding,3,27.272727,36.363636,32,85359,-0.209129
noncoding,3,27.272727,36.363636,32,394784,0.615853
all,3,27.272727,36.363636,64,480143,-0.061994
coding,3,36.363636,45.454545,32,1077680,-0.023228
noncoding,3,36.363636,45.454545,32,46927716,0.800195
all,3,36.363636,45.454545,64,48005396,0.284110
coding,3,45.454545,54.545455,32,11429423,0.809407
noncoding,3,45.454545,54.545455,32,1544896056,0.987724
all,3,45.454545,54.545455,64,1556325479,0.909173
coding,3,54.545455,63.636364,32,6763205,0.873560
noncoding,3,54.545455,63.636364,32,265105716,0.853046
all,3,54.545455,63.636364,64,271868921,0.847637
coding,3,63.636364,72.727273,32,4204056,0.923154
noncoding,3,63.636364,72.727273,32,35178535,0.780618
all,3,63.636364,72.727273,64,39382591,0.796331
coding,3,72.727273,81.818182,32,3409284,0.903468
noncoding,3,72.727273,81.818182,32,7542883,0.878830
all,3,72.727273,81.818182,64,10952167,0.869139
coding,3,81.818182,90.909091,32,3594627,0.662147
noncoding,3,81.818182,90.909091,32,2164704,0.445105
all,3,81.818182,90.909091,64,5759331,0.522278
coding,3,90.909091,100.000000,32,4275149,0.047423
noncoding,3,90.909091,100.000000,32,593546,0.366277
all,3,90.909091,100.000000,64,4868695,0.259956
