region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,3,0.000000,9.090909,32,44,0.068238
noncoding,3,0.000000,9.090909,32,93,0.242278
all,3,0.000000,9.090909,64,137,0.089105
coding,3,9.090909,18.181818,32,885,0.938838
noncoding,3,9.090909,18.181818,32,7206,0.898403
all,3,9.090909,18.181818,64,8091,0.935862
coding,3,18.181818,27.272727,32,11848,0.993793
noncoding,3,18.181818,27.272727,32,261072,0.956165
all,3,18.181818,27.272727,64,272920,0.989602
coding,3,27.272727,36.363636,32,120377,0.990372
noncoding,3,27.272727,36.363636,32,6439898,0.957951
all,3,27.272727,36.363636,64,6560275,0.985421
coding,3,36.363636,45.454545,32,1185742,0.966535
noncoding,3,36.363636,45.454545,32,229594852,0.889266
all,3,36.363636,45.454545,64,230780594,0.937579
coding,3,45.454545,54.545455,32,6910977,0.961346
noncoding,3,45.454545,54.545455,32,1075643787,0.999818
all,3,45.454545,54.545455,64,1082554764,0.982655
coding,3,54.545455,63.636364,32,4544831,0.994397
noncoding,3,54.545455,63.636364,32,523108888,0.998218
all,3,54.545455,63.636364,64,527653719,0.996474
coding,3,63.636364,72.727273,32,3101192,0.925536
noncoding,3,63.636364,72.727273,32,161244135,0.978160
all,3,63.636364,72.727273,64,164345327,0.959764
coding,3,72.727273,81.818182,32,2377828,0.494971
noncoding,3,72.727273,81.818182,32,24784323,0.929935
all,3,72.727273,81.818182,64,27162151,0.768703
coding,3,81.818182,90.909091,32,1977401,0.472943
noncoding,3,81.818182,90.909091,32,7402557,0.765375
all,3,81.818182,90.909091,64,9379958,0.614637
coding,3,90.909091,100.000000,32,6290772,0.858569
noncoding,3,90.909091,100.000000,32,3201327,0.774373
all,3,90.909091,100.000000,64,9492099,0.803497
