region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,5,0.000000,9.090909,512,242,0.151201
noncoding,5,0.000000,9.090909,512,136,0.036940
all,5,0.000000,9.090909,1024,378,0.084284
coding,5,9.090909,18.181818,512,1697,0.611056
noncoding,5,9.090909,18.181818,512,1152,0.426987
all,5,9.090909,18.181818,1024,2849,0.524100
coding,5,18.181818,27.272727,512,14158,0.860421
noncoding,5,18.181818,27.272727,512,13900,0.707319
all,5,18.181818,27.272727,1024,28058,0.824798
coding,5,27.272727,36.363636,512,120896,0.926584
noncoding,5,27.272727,36.363636,512,465972,0.726708
all,5,27.272727,36.363636,1024,586868,0.862430
coding,5,36.363636,45.454545,512,1163580,0.918334
noncoding,5,36.363636,45.454545,512,465972,0.724994
all,5,36.363636,45.454545,1024,1629552,0.841747
coding,5,45.454545,54.545455,512,2701709,0.909777
noncoding,5,45.454545,54.545455,512,465972,0.992008
all,5,45.454545,54.545455,1024,3167681,0.957861
coding,5,54.545455,63.636364,512,2701709,0.989257
noncoding,5,54.545455,63.636364,512,465972,0.910760
all,5,54.545455,63.636364,1024,3167681,0.929340
coding,5,63.636364,72.727273,512,2701709,0.980731
noncoding,5,63.636364,72.727273,512,465972,0.802988
all,5,63.636364,72.727273,1024,3167681,0.848403
coding,5,72.727273,81.818182,512,2701709,0.918015
noncoding,5,72.727273,81.818182,512,465972,0.862507
all,5,72.727273,81.818182,1024,3167681,0.881621
coding,5,81.818182,90.909091,512,2701709,0.435405
noncoding,5,81.818182,90.909091,512,465972,0.457225
all,5,81.818182,90.909091,1024,3167681,0.447244
coding,5,90.909091,100.000000,512,2701709,-0.521862
noncoding,5,90.909091,100.000000,512,465972,-0.238757
all,5,90.909091,100.000000,1024,3167681,-0.326953
