region,k,bin_lo,bin_hi,n_pairs,n_in_bin,pearson_r
coding,3,0.000000,9.090909,32,0,nan
noncoding,3,0.000000,9.090909,32,0,nan
all,3,0.000000,9.090909,64,0,nan
coding,3,9.090909,18.181818,32,0,nan
noncoding,3,9.090909,18.181818,32,2,nan
all,3,9.090909,18.181818,64,2,nan
coding,3,18.181818,27.272727,32,30,0.479783
noncoding,3,18.181818,27.272727,32,424,0.508702
all,3,18.181818,27.272727,64,454,0.464098
coding,3,27.272727,36.363636,32,2023,0.821343
noncoding,3,27.272727,36.363636,32,141565,0.913101
all,3,27.272727,36.363636,64,143588,0.866031
coding,3,36.363636,45.454545,32,210343,0.914580
noncoding,3,36.363636,45.454545,32,59355834,0.929548
all,3,36.363636,45.454545,64,59566177,0.922200
coding,3,45.454545,54.545455,32,3551851,0.949392
noncoding,3,45.454545,54.545455,32,1323308618,0.996999
all,3,45.454545,54.545455,64,1326860469,0.974526
coding,3,54.545455,63.636364,32,5521338,0.978247
noncoding,3,54.545455,63.636364,32,576794217,0.995968
all,3,54.545455,63.636364,64,582315555,0.988655
coding,3,63.636364,72.727273,32,6123035,0.987317
noncoding,3,63.636364,72.727273,32,54442727,0.971220
all,3,63.636364,72.727273,64,60565762,0.959883
coding,3,72.727273,81.818182,32,6552059,0.964901
noncoding,3,72.727273,81.818182,32,12102009,0.975411
all,3,72.727273,81.818182,64,18654068,0.957506
coding,3,81.818182,90.909091,32,3806066,0.701179
noncoding,3,81.818182,90.909091,32,3361400,0.914902
all,3,81.818182,90.909091,64,7167466,0.821476
coding,3,90.909091,100.000000,32,754935,0.785250
noncoding,3,90.909091,100.000000,32,927382,0.824599
all,3,90.909091,100.000000,64,1682317,0.800882
